"","id","cq","xmast","dim","lact","rpro","dnbr","x8"
"305",18578,2,0,190,4,"PREG","-",NA
"306",18580,3,0,43,4,"NO BRED","UDDER",NA
"307",18584,2,0,29,4,"OK/OPEN","-",NA
"308",18587,2,0,313,3,"DRY","-",NA
"309",18589,3,0,238,3,"PREG","-",NA
"310",18590,2,0,309,3,"DRY","-",NA
"311",18591,2,0,335,3,"DRY","-",NA
"312",18593,3,0,53,4,"OK/OPEN","-",NA
"313",18599,2,0,50,4,"OK/OPEN","-",NA
"314",18600,2,1,764,2,"NO BRED",NA,NA
"315",18603,3,0,97,4,"BRED","-",NA
"316",18606,3,0,86,4,"BRED","-",NA
"317",18611,3,0,29,4,"OK/OPEN","-",NA
"318",18614,1,0,79,4,"BRED","-",NA
"319",18616,1,0,436,3,"NO BRED","UDDER",NA
"320",18619,2,0,294,3,"PREG","-",NA
"321",18620,3,0,87,4,"BRED","-",NA
"322",18622,2,0,352,3,"DRY","-",NA
"323",18625,2,0,156,4,"PREG","-",NA
"324",18626,1,0,242,3,"PREG","-",NA
"325",18631,3,0,145,4,"BRED","-",NA
"326",18637,2,0,55,4,"OK/OPEN","-",NA
"327",18639,2,0,223,4,"PREG","-",NA
"328",18641,3,1,73,4,"OK/OPEN","-",NA
"329",18644,2,0,83,4,"BRED","-",NA
"330",18645,3,0,64,4,"OK/OPEN","-",NA
"331",18647,3,0,69,4,"NO BRED","UDDER",NA
"332",18648,2,0,355,3,"DRY","-",NA
"333",18653,3,0,51,4,"NO BRED","UDDER",NA
"334",18659,3,1,115,4,"NO BRED","UDDER",NA
"335",18666,2,0,49,4,"OK/OPEN","-",NA
"336",18668,2,0,132,4,"BRED","-",NA
"337",18670,3,0,90,4,"BRED","-",NA
"338",18671,3,0,138,4,"BRED","-",NA
"339",18673,2,0,78,4,"BRED","-",NA
"340",18674,2,0,399,3,"NO BRED","UDDER",NA
"341",18675,2,0,103,4,"BRED","-",NA
"342",18677,2,0,63,4,"OK/OPEN","-",NA
"343",18680,3,0,313,3,"DRY","-",NA
"344",18681,2,1,209,3,"PREG","-",NA
"345",18682,2,0,189,4,"PREG","-",NA
"346",18687,3,0,63,4,"OK/OPEN","-",NA
"347",18689,2,0,40,4,"OK/OPEN","-",NA
"348",18690,2,0,328,3,"NO BRED","UDDER",NA
"349",18694,2,0,98,4,"BRED","-",NA
"350",18695,2,0,51,4,"OK/OPEN","-",NA
"351",18696,2,0,36,4,"OK/OPEN","-",NA
"352",18697,2,0,53,4,"OK/OPEN","-",NA
"353",18700,2,0,291,3,"BRED","-",NA
"354",18709,1,0,333,3,"PREG","-",NA
"355",18710,2,0,329,3,"DRY","-",NA
"356",18711,2,0,45,4,"OK/OPEN","-",NA
"357",18717,2,0,70,4,"OK/OPEN","-",NA
"358",18721,2,0,340,3,"NO BRED","XBRD",NA
"359",18725,2,1,74,4,"OK/OPEN","-",NA
"360",18726,2,0,438,3,"DRY","-",NA
"361",18727,3,0,54,4,"OK/OPEN","-",NA
"362",18728,2,0,56,4,"OK/OPEN","-",NA
"363",18730,2,0,67,4,"OK/OPEN","-",NA
"364",18732,2,0,350,3,"PREG","-",NA
"365",18738,1,0,280,3,"NO BRED",NA,NA
"366",18742,2,0,133,4,"PREG","-",NA
"367",18743,2,0,312,3,"DRY","-",NA
"368",18750,3,0,132,4,"PREG","-",NA
"369",18752,2,0,142,4,"PREG","-",NA
"370",18757,2,0,62,4,"OK/OPEN","-",NA
"371",18758,3,0,42,4,"NO BRED","UDDER",NA
"372",18759,2,1,339,3,"PREG","-",NA
"373",18762,3,0,38,4,"OK/OPEN","-",NA
"374",18763,3,0,273,3,"BRED","-",NA
"375",18764,3,0,125,4,"BRED","-",NA
"376",18768,3,0,16,4,"OK/OPEN","-",NA
"377",18776,2,1,78,4,"BRED","-",NA
"378",18777,3,0,136,4,"PREG","-",NA
"379",18784,3,0,138,4,"BRED","-",NA
"380",18786,3,0,50,4,"OK/OPEN","-",NA
"381",18792,3,0,350,3,"NO BRED","XBRD",NA
"382",18794,3,0,34,4,"OK/OPEN","-",NA
"383",18796,2,0,61,4,"OK/OPEN","-",NA
"384",18797,2,0,352,3,"DRY","-",NA
"385",18798,2,0,365,3,"PREG","-",NA
"386",18802,3,0,20,4,"OK/OPEN","-",NA
"387",18804,3,0,78,4,"BRED","-",NA
"388",18806,3,0,16,4,"OK/OPEN","-",NA
"389",18808,2,1,309,3,"PREG","-",NA
"390",18811,3,0,107,4,"BRED","-",NA
"391",18814,1,1,492,3,"NO BRED","UDDER",NA
"392",18819,3,0,314,3,"DRY","-",NA
"393",18820,2,1,293,3,"PREG","-",NA
"394",18821,2,0,64,4,"OK/OPEN","-",NA
"395",18823,2,0,87,4,"BRED","-",NA
"396",18827,2,0,45,4,"OK/OPEN","-",NA
"397",18832,2,0,336,3,"NO BRED","UDDER",NA
"398",18838,2,2,351,3,"PREG","-",NA
"399",18845,2,0,332,3,"DRY","-",NA
"400",18846,3,0,69,3,"OK/OPEN","-",NA
"401",18852,2,0,222,3,"PREG","-",NA
"402",18853,2,2,234,3,"PREG","-",NA
"403",18857,2,0,450,3,"DRY","-",NA
"404",18860,2,3,391,3,"DRY","-",NA
"405",18861,3,0,15,4,"OK/OPEN","-",NA
"406",18864,3,0,363,3,"DRY","-",NA
"407",18866,3,0,432,3,"DRY","-",NA
"408",18867,2,0,205,3,"PREG","-",NA
"409",18870,2,0,238,3,"PREG","-",NA
"410",18871,2,0,262,3,"PREG","-",NA
"411",18872,2,0,166,3,"PREG","-",NA
"412",18873,3,0,79,4,"BRED","-",NA
"413",18875,3,0,357,3,"PREG","-",NA
"414",18876,3,0,264,3,"PREG","-",NA
"415",18877,1,1,380,3,"PREG","-",NA
"416",18880,2,0,17,4,"OK/OPEN","-",NA
"417",18881,2,0,18,4,"OK/OPEN","-",NA
"418",18883,2,0,271,3,"PREG","-",NA
"419",18884,2,0,13,4,"OK/OPEN","-",NA
"420",18885,3,0,69,4,"OK/OPEN","-",NA
"421",18886,2,0,48,4,"OK/OPEN","-",NA
"422",18887,2,5,308,3,"DRY","-",NA
"423",18888,2,0,396,3,"NO BRED","CALVINJU",NA
"424",18892,1,0,286,3,"PREG","-",NA
"425",18894,3,0,40,4,"OK/OPEN","-",NA
"426",18895,3,0,406,3,"PREG","-",NA
"427",18896,2,0,326,3,"DRY","-",NA
"428",18903,3,0,362,3,"DRY","-",NA
"429",18910,3,0,53,4,"OK/OPEN","-",NA
"430",18912,2,0,70,4,"OK/OPEN","-",NA
"431",18913,2,0,384,3,"NO BRED",NA,NA
"432",18920,1,1,343,3,"NO BRED","REPRO",NA
"433",18921,3,0,232,3,"BRED","-",NA
"434",18922,2,4,230,3,"PREG","-",NA
"435",18923,3,0,311,3,"DRY","-",NA
"436",18924,2,0,9,4,"NO BRED","UDDER",NA
"437",18925,3,0,353,3,"DRY","-",NA
"438",18928,3,0,335,3,"NO BRED","XBRD",NA
"439",18929,3,0,277,3,"NO BRED","STIFLEIN",NA
"440",18930,3,0,148,3,"BRED","-",NA
"441",18932,2,0,710,2,"NO BRED",NA,NA
"442",18933,1,1,306,3,"PREG","-",NA
"443",18934,3,0,347,3,"PREG","-",NA
"444",18935,2,0,294,3,"PREG","-",NA
"445",18936,2,1,371,3,"DRY","-",NA
"446",18937,3,0,705,2,"NO BRED","DIM",NA
"447",18938,3,1,223,3,"NO BRED","UDDER",NA
"448",18941,3,0,283,3,"PREG","-",NA
"449",18943,2,0,255,3,"PREG","-",NA
"450",18947,2,1,356,3,"PREG","-",NA
"451",18948,3,0,311,3,"DRY","-",NA
"452",18952,2,0,264,3,"PREG","-",NA
"453",18955,2,0,172,3,"PREG","-",NA
"454",18956,3,0,214,3,"PREG","-",NA
"455",18957,2,0,341,3,"PREG","-",NA
"456",18959,3,0,301,3,"DRY","-",NA
"457",18961,3,0,6,3,"OK/OPEN","-",NA
"458",18964,3,0,377,3,"PREG","-",NA
"459",18975,3,0,107,3,"BRED","-",NA
"460",18979,2,0,16,4,"OK/OPEN","-",NA
"461",18980,2,0,226,3,"PREG","-",NA
"462",18981,1,1,667,2,"NO BRED","XBRD",NA
"463",18982,2,0,358,3,"PREG","-",NA
"464",18983,2,0,574,2,"NO BRED","REPRO",NA
"465",18984,3,0,373,3,"PREG","-",NA
"466",18985,3,0,239,3,"PREG","-",NA
"467",18986,3,0,272,3,"PREG","-",NA
"468",18988,3,0,334,3,"DRY","-",NA
"469",18990,2,0,530,2,"NO BRED",NA,NA
"470",18993,2,0,292,3,"DRY","-",NA
"471",18998,3,0,294,3,"DRY","-",NA
"472",20428,1,3,295,7,"NO BRED","UDDER",NA
"473",20434,0,0,182,9,"NO BRED","UDDER",NA
"474",20443,2,0,486,7,"NO BRED","UDDER",NA
"475",20445,2,0,235,9,"PREG","-",NA
"476",20465,3,1,437,6,"DRY","-",NA
"477",20473,1,0,362,6,"NO BRED","UDDER",NA
"478",20489,2,0,190,7,"NO BRED","UDDER",NA
"479",20545,1,0,282,4,"NO BRED","PROD",NA
"480",20553,2,1,257,7,"NO BRED",NA,NA
"481",20556,1,0,199,7,"NO BRED","UDDER",NA
"482",20557,2,0,290,8,"PREG","-",NA
"483",20575,1,0,220,8,"BRED","-",NA
"484",20580,2,0,138,8,"BRED","-",NA
"485",20601,3,0,238,9,"PREG","-",NA
"486",20627,0,0,181,8,"PREG","-",NA
"487",20630,3,0,46,6,"OK/OPEN","-",NA
"488",20660,2,0,195,7,"PREG","-",NA
"489",20665,2,0,320,5,"DRY","-",NA
"490",20683,3,0,62,7,"OK/OPEN","-",NA
"491",20684,2,0,159,6,"PREG","-",NA
"492",20694,3,0,9,5,"OK/OPEN","-",NA
"493",20695,3,0,15,8,"OK/OPEN","-",NA
"494",20703,2,0,92,5,"BRED","-",NA
"495",20706,3,0,136,5,"PREG","-",NA
"496",20707,2,2,300,4,"PREG","-",NA
"497",20709,2,0,64,6,"OK/OPEN","-",NA
"498",20718,2,0,97,5,"BRED","-",NA
"499",20719,2,0,134,5,"BRED","-",NA
"500",20730,2,0,21,7,"OK/OPEN","-",NA
"501",20731,3,0,361,5,"PREG","-",NA
"502",20739,1,2,399,5,"NO BRED","UDDER",NA
"503",20742,2,0,13,7,"OK/OPEN","-",NA
"504",20743,2,0,27,9,"NO BRED","UDDER",NA
"505",20748,1,0,324,5,"PREG","-",NA
"506",20749,2,0,374,5,"DRY","-",NA
"507",20763,2,2,313,5,"PREG","-",NA
"508",20764,1,0,502,7,"NO BRED","UDDER",NA
"509",20815,0,0,181,6,"BRED","-",NA
"510",20817,1,1,219,5,"PREG","-",NA
"511",20822,2,0,404,4,"NO BRED","REPRO",NA
"512",20831,2,0,261,6,"PREG","-",NA
"513",20837,1,0,231,7,"PREG","-",NA
"514",20838,2,0,348,4,"DRY","-",NA
"515",20839,2,0,377,5,"NO BRED","UDDER",NA
"516",20861,1,0,192,5,"NO BRED","AGGRO",NA
"517",20862,2,0,226,5,"PREG","-",NA
"518",20876,2,0,165,6,"PREG","-",NA
"519",20878,2,0,55,6,"NO BRED","AGGRO",NA
"520",20879,3,0,306,7,"PREG","-",NA
"521",20881,2,0,258,6,"NO BRED","UDDER",NA
"522",20901,2,0,188,5,"PREG","-",NA
"523",20943,2,1,397,6,"PREG","-",NA
"524",20966,1,0,360,5,"PREG","-",NA
"525",20968,2,0,310,6,"PREG","-",NA
"526",20996,3,0,28,7,"OK/OPEN","-",NA
